iter	RMSE
0	14.65844042
1	13.2812548
2	12.20189025
3	11.22562241
4	10.39708841
5	9.644091273
6	9.046323086
7	8.520910807
8	8.027614223
9	7.649343244
10	7.288542075
11	7.004576214
12	6.718426216
13	6.484242509
14	6.27937113
15	6.118815271
16	5.972599302
17	5.829075508
18	5.696501609
19	5.591397738
20	5.510125647
21	5.391683738
22	5.322294717
23	5.263814323
24	5.172305059
25	5.109943855
26	5.041010962
27	4.990899376
28	4.93249683
29	4.872697894
30	4.832972117
31	4.805348396
32	4.740020288
33	4.711617645
34	4.651195176
35	4.627156617
36	4.579504071
37	4.551060676
38	4.503341572
39	4.44787917
40	4.398595933
41	4.385823025
42	4.365264602
43	4.338349017
44	4.300419323
45	4.274254011
46	4.237023952
47	4.215023157
48	4.20436199
49	4.196403954
50	4.176848716
51	4.154622144
52	4.122022731
53	4.114433675
54	4.084171425
55	4.055311132
56	4.041992943
57	4.034231317
58	4.021710036
59	3.988908346
60	3.985438948
61	3.954887559
62	3.927112304
63	3.906219706
64	3.899041879
65	3.895644397
66	3.856571278
67	3.822220232
68	3.781197446
69	3.765212206
70	3.7351263
71	3.710015564
72	3.673715157
73	3.637206029
74	3.624428496
75	3.614575339
76	3.588956758
77	3.585215231
78	3.556183808
79	3.552871672
80	3.528454432
81	3.524596192
82	3.508275824
83	3.493225176
84	3.480182388
85	3.455988589
86	3.432844975
87	3.414717069
88	3.384818141
89	3.38085172
90	3.359009433
91	3.356005361
92	3.330706187
93	3.316043422
94	3.305392841
95	3.303249658
96	3.287690437
97	3.273278295
98	3.264562176
99	3.253690204
100	3.251835156
101	3.236562199
102	3.214898358
103	3.213159503
104	3.200398401
105	3.194231244
106	3.185155016
107	3.166088778
108	3.164906019
109	3.163380458
110	3.15613409
111	3.15488373
112	3.143063566
113	3.124622501
114	3.108123209
115	3.086735478
116	3.071160285
117	3.05771717
118	3.031749814
119	3.021619711
120	3.011411399
121	2.997961972
122	2.973293536
123	2.962948329
124	2.958279085
125	2.944396159
126	2.928225971
127	2.921605099
128	2.914185662
129	2.908127634
130	2.895627856
131	2.890355297
132	2.88906537
133	2.872145381
134	2.870984254
135	2.858859695
136	2.849506281
137	2.829719946
138	2.814525601
139	2.806963186
140	2.800080001
141	2.798831364
142	2.790148885
143	2.772734848
144	2.760615847
145	2.750846283
146	2.741934653
147	2.731096641
148	2.725895992
149	2.707576599
150	2.697343922
151	2.688558824
152	2.680459492
153	2.67470406
154	2.659436178
155	2.646804411
156	2.646021882
157	2.636215234
158	2.623215519
159	2.622337181
160	2.61407216
161	2.608472077
162	2.603065632
163	2.594796222
164	2.573591212
165	2.564690625
166	2.564122418
167	2.56366843
168	2.562509992
169	2.556190232
170	2.548298589
171	2.547759728
172	2.535545288
173	2.526678072
174	2.518840704
175	2.514235721
176	2.505885303
177	2.499882088
178	2.486801527
179	2.475267002
180	2.462733415
181	2.453460007
182	2.446579915
183	2.443857732
184	2.437507412
185	2.43494567
186	2.426274595
187	2.419287133
188	2.410030046
189	2.403655497
190	2.40040401
191	2.391495937
192	2.391102251
193	2.379286599
194	2.3748274
195	2.3694824
196	2.362908902
197	2.357426496
198	2.349055782
199	2.348393502
200	2.341937625
201	2.33557596
202	2.330955156
203	2.324638539
204	2.322244558
205	2.31911171
206	2.316970538
207	2.312239999
208	2.305907229
209	2.296337102
210	2.291141917
211	2.285657391
212	2.28283558
213	2.276059519
214	2.273319142
215	2.271893821
216	2.258899209
217	2.255881526
218	2.254918425
219	2.244577418
220	2.238988191
221	2.233532298
222	2.227911011
223	2.221335957
224	2.212017227
225	2.207321246
226	2.202332181
227	2.198681033
228	2.191649887
229	2.183738327
230	2.179200384
231	2.172885408
232	2.166989377
233	2.161872346
234	2.161406328
235	2.157210655
236	2.150949443
237	2.145745286
238	2.141261661
239	2.138126718
240	2.13372731
241	2.129444155
242	2.124019763
243	2.118729579
244	2.113286116
245	2.109827982
246	2.103617601
247	2.10098527
248	2.0985305
249	2.094829637
250	2.088288407
251	2.083249719
252	2.082192528
253	2.076070977
254	2.072088417
255	2.06778848
256	2.06599318
257	2.058049818
258	2.053562015
259	2.053336615
260	2.049353191
261	2.045191521
262	2.042390434
263	2.040411138
264	2.039980567
265	2.038486747
266	2.035310935
267	2.032319618
268	2.029895165
269	2.025890363
270	2.021825394
271	2.016521231
272	2.014627499
273	2.011883058
274	2.007011112
275	2.006873238
276	2.00561996
277	2.001575344
278	1.996833106
279	1.992217783
280	1.990382666
281	1.986821425
282	1.982442326
283	1.977755674
284	1.973152484
285	1.969344201
286	1.967083181
287	1.963918928
288	1.961415748
289	1.959309914
290	1.958027673
291	1.95678072
292	1.953324342
293	1.950813658
294	1.949559636
295	1.948100457
296	1.943019093
297	1.941476411
298	1.937509349
299	1.935074025
300	1.932437103
301	1.930775599
302	1.927523738
303	1.927197019
304	1.921423953
305	1.920238881
306	1.920085711
307	1.916738643
308	1.911370513
309	1.909261619
310	1.906076896
311	1.903573008
312	1.902098977
313	1.901819996
314	1.898376864
315	1.898185195
316	1.891297601
317	1.886814271
318	1.882965103
319	1.880218064
320	1.874128072
321	1.868735673
322	1.864421885
323	1.859994033
324	1.855814278
325	1.850498681
326	1.848109139
327	1.844889519
328	1.843108435
329	1.840728657
330	1.839710455
331	1.836308499
332	1.832852741
333	1.828718034
334	1.827097745
335	1.823044361
336	1.821005248
337	1.818600707
338	1.815684307
339	1.814187738
340	1.812628868
341	1.811960451
342	1.8107389
343	1.807909546
344	1.807136696
345	1.802460398
346	1.799397317
347	1.795715543
348	1.795439302
349	1.792995873
350	1.790470345
351	1.786481799
352	1.785252305
353	1.783525215
354	1.782246043
355	1.780680661
356	1.780540839
357	1.776982178
358	1.776782011
359	1.774561441
360	1.773592672
361	1.770806569
362	1.769527694
363	1.765670057
364	1.76179917
365	1.76169608
366	1.7602652
367	1.756669608
368	1.752401009
369	1.752207356
370	1.752076582
371	1.747509836
372	1.744511932
373	1.743026498
374	1.738852459
375	1.736121746
376	1.735196193
377	1.732340614
378	1.732219088
379	1.730032396
380	1.729874831
381	1.726348117
382	1.723583228
383	1.72040629
384	1.71887524
385	1.717794091
386	1.716071114
387	1.713566281
388	1.710828481
389	1.708822827
390	1.708318511
391	1.707221786
392	1.705574538
393	1.701166861
394	1.697922343
395	1.696177074
396	1.696058899
397	1.692390609
398	1.690997767
399	1.689881379
400	1.688394708
401	1.687031918
402	1.683499596
403	1.679947186
404	1.677192665
405	1.676384473
406	1.673248237
407	1.671745826
408	1.670714347
409	1.668230166
410	1.665390005
411	1.665101314
412	1.665056003
413	1.662945107
414	1.660361048
415	1.659173279
416	1.656726495
417	1.654758794
418	1.65398688
419	1.653006099
420	1.651493019
421	1.650518438
422	1.64972309
423	1.647824294
