iter	Passed	Remaining
0	4	3611
1	9	3642
2	14	3630
3	19	3573
4	22	3289
5	28	3522
6	33	3508
7	37	3404
8	42	3450
9	46	3380
10	50	3350
11	55	3320
12	60	3356
13	67	3465
14	72	3468
15	78	3511
16	83	3516
17	91	3628
18	94	3574
19	97	3479
20	101	3447
21	110	3595
22	117	3636
23	131	3893
24	140	3977
25	145	3979
26	151	3975
27	156	3958
28	160	3915
29	166	3914
30	170	3873
31	175	3861
32	180	3836
33	186	3843
34	191	3835
35	195	3798
36	200	3790
37	205	3767
38	210	3748
39	214	3725
40	218	3705
41	224	3696
42	230	3714
43	236	3712
44	240	3693
45	244	3660
46	250	3664
47	254	3648
48	259	3636
49	266	3648
50	271	3642
51	275	3624
52	280	3606
53	284	3582
54	288	3565
55	292	3548
56	297	3541
57	301	3518
58	304	3488
59	307	3460
60	313	3468
61	319	3469
62	324	3463
63	330	3461
64	333	3437
65	337	3424
66	344	3431
67	349	3423
68	354	3422
69	360	3420
70	365	3416
71	372	3428
72	377	3421
73	383	3425
74	389	3424
75	394	3417
76	402	3436
77	407	3435
78	416	3459
79	423	3464
80	429	3468
81	436	3472
82	443	3487
83	450	3489
84	454	3478
85	461	3479
86	468	3488
87	472	3473
88	477	3467
89	484	3472
90	488	3459
91	492	3445
92	497	3432
93	501	3420
94	506	3409
95	510	3399
96	516	3395
97	520	3382
98	524	3370
99	529	3362
100	533	3351
101	538	3343
102	543	3333
103	547	3322
104	551	3308
105	555	3297
106	562	3299
107	566	3285
108	570	3276
109	578	3285
110	584	3284
111	588	3271
112	593	3266
113	596	3250
114	599	3234
115	603	3220
116	608	3214
117	612	3202
118	615	3187
119	620	3180
120	625	3172
121	630	3166
122	635	3159
123	640	3157
124	644	3146
125	649	3139
126	653	3130
127	658	3120
128	662	3110
129	666	3101
130	671	3096
131	675	3086
132	680	3081
133	685	3073
134	691	3071
135	694	3059
136	697	3045
137	702	3041
138	707	3035
139	717	3050
140	726	3061
141	733	3063
142	740	3063
143	744	3054
144	750	3051
145	753	3039
146	756	3025
147	760	3015
148	783	3079
149	786	3068
150	789	3054
151	793	3043
152	798	3036
153	802	3025
154	805	3015
155	809	3006
156	815	3002
157	820	2995
158	823	2984
159	830	2985
160	837	2984
161	841	2977
162	846	2971
163	850	2959
164	853	2949
165	858	2943
166	863	2938
167	868	2931
168	872	2922
169	883	2936
170	889	2933
171	894	2926
172	899	2922
173	908	2928
174	914	2926
175	921	2925
176	926	2919
177	930	2911
178	935	2906
179	939	2898
180	943	2889
181	948	2881
182	954	2879
183	959	2872
184	963	2863
185	967	2855
186	971	2847
187	975	2838
188	979	2830
189	984	2823
190	988	2816
191	992	2805
192	995	2794
193	1000	2791
194	1003	2780
195	1007	2770
196	1010	2759
197	1016	2756
198	1021	2750
199	1025	2741
200	1029	2733
201	1033	2725
202	1036	2716
203	1039	2705
204	1042	2696
205	1048	2692
206	1051	2682
207	1054	2670
208	1056	2659
209	1063	2658
210	1067	2652
211	1071	2643
212	1075	2635
213	1080	2629
214	1082	2619
215	1085	2608
216	1088	2597
217	1090	2586
218	1094	2579
219	1097	2569
220	1100	2559
221	1103	2550
222	1106	2540
223	1110	2532
224	1112	2521
225	1116	2514
226	1119	2504
227	1122	2496
228	1127	2490
229	1131	2484
230	1136	2478
231	1141	2475
232	1146	2469
233	1150	2463
234	1155	2458
235	1160	2453
236	1164	2446
237	1166	2435
238	1169	2426
239	1172	2419
240	1175	2408
241	1177	2398
242	1179	2387
243	1181	2378
244	1184	2369
245	1189	2365
246	1197	2365
247	1201	2359
248	1205	2352
249	1208	2344
250	1213	2339
251	1216	2330
252	1219	2322
253	1221	2314
254	1226	2308
255	1229	2300
256	1232	2292
257	1236	2285
258	1241	2280
259	1246	2277
260	1251	2272
261	1255	2267
262	1259	2261
263	1263	2255
264	1267	2248
265	1270	2240
266	1275	2235
267	1278	2228
268	1282	2222
269	1287	2217
270	1292	2212
271	1296	2207
272	1300	2201
273	1306	2198
274	1311	2192
275	1314	2186
276	1319	2182
277	1323	2176
278	1327	2169
279	1331	2163
280	1336	2159
281	1340	2153
282	1343	2146
283	1347	2139
284	1351	2133
285	1355	2128
286	1359	2121
287	1362	2114
288	1365	2107
289	1370	2103
290	1374	2097
291	1377	2090
292	1386	2091
293	1389	2084
294	1393	2078
295	1403	2081
296	1410	2080
297	1419	2081
298	1424	2077
299	1430	2073
300	1434	2068
301	1438	2063
302	1442	2056
303	1446	2051
304	1450	2045
305	1454	2039
306	1458	2033
307	1464	2029
308	1466	2022
309	1470	2016
310	1474	2010
311	1479	2006
312	1483	2000
313	1488	1995
314	1491	1989
315	1496	1984
316	1500	1978
317	1504	1973
318	1508	1966
319	1512	1961
320	1515	1954
321	1519	1949
322	1522	1941
323	1525	1935
324	1529	1928
325	1531	1921
326	1534	1914
327	1537	1907
328	1540	1900
329	1543	1894
330	1545	1886
331	1548	1879
332	1551	1873
333	1554	1866
334	1558	1860
335	1561	1854
336	1564	1847
337	1567	1841
338	1570	1834
339	1573	1828
340	1576	1821
341	1578	1813
342	1580	1806
343	1582	1798
344	1587	1794
345	1591	1788
346	1593	1781
347	1595	1774
348	1597	1766
349	1599	1759
350	1601	1752
351	1606	1747
352	1608	1740
353	1610	1733
354	1613	1726
355	1615	1720
356	1619	1714
357	1622	1709
358	1625	1702
359	1627	1695
360	1632	1691
361	1638	1688
362	1645	1685
363	1649	1681
364	1656	1678
365	1660	1674
366	1667	1671
367	1676	1672
368	1682	1669
369	1686	1664
370	1690	1659
371	1695	1654
372	1700	1649
373	1705	1645
374	1709	1641
375	1715	1637
376	1719	1632
377	1723	1627
378	1728	1623
379	1732	1618
380	1737	1614
381	1742	1610
382	1747	1606
383	1752	1601
384	1756	1596
385	1761	1593
386	1766	1588
387	1770	1583
388	1775	1579
389	1780	1575
390	1785	1570
391	1788	1565
392	1797	1564
393	1810	1566
394	1832	1577
395	1891	1619
396	1917	1632
397	1957	1657
398	1994	1679
399	2017	1689
400	2040	1699
401	2057	1704
402	2073	1708
403	2096	1717
404	2123	1729
405	2148	1741
406	2165	1745
407	2178	1745
408	2187	1743
409	2193	1738
410	2200	1734
411	2206	1730
412	2220	1731
413	2235	1733
414	2243	1729
415	2249	1724
416	2255	1719
417	2263	1716
418	2270	1712
419	2276	1707
420	2284	1704
421	2290	1699
422	2301	1697
423	2305	1691
424	2311	1685
425	2318	1681
426	2327	1678
427	2338	1677
428	2351	1677
429	2362	1675
430	2368	1670
431	2378	1668
432	2387	1665
433	2399	1664
434	2414	1665
435	2432	1667
436	2448	1670
437	2456	1665
438	2472	1667
439	2482	1664
440	2490	1660
441	2497	1655
442	2503	1650
443	2512	1646
444	2518	1641
445	2527	1637
446	2539	1636
447	2551	1634
448	2567	1635
449	2578	1633
450	2590	1631
451	2596	1625
452	2607	1623
453	2623	1623
454	2638	1623
455	2646	1619
456	2653	1613
457	2658	1607
458	2665	1602
459	2672	1597
460	2680	1593
461	2690	1589
462	2698	1585
463	2706	1580
464	2712	1574
465	2720	1570
466	2725	1564
467	2731	1558
468	2737	1552
469	2743	1547
470	2751	1542
471	2758	1536
472	2765	1532
473	2772	1526
474	2780	1522
475	2787	1516
476	2794	1511
477	2802	1506
478	2808	1501
479	2816	1496
480	2824	1491
481	2833	1487
482	2841	1482
483	2848	1477
484	2854	1471
485	2862	1466
486	2870	1461
487	2878	1457
488	2884	1451
489	2890	1445
490	2896	1439
491	2903	1433
492	2911	1429
493	2917	1423
494	2925	1418
495	2930	1412
496	2938	1406
497	2944	1401
498	2950	1395
499	2959	1391
500	2966	1385
501	2974	1380
502	2981	1375
503	2991	1371
504	2999	1366
505	3007	1361
506	3015	1355
507	3026	1352
508	3038	1348
509	3047	1344
510	3056	1339
511	3064	1334
512	3075	1330
513	3083	1325
514	3092	1321
515	3102	1316
516	3112	1312
517	3121	1307
518	3128	1301
519	3140	1298
520	3151	1294
521	3156	1287
522	3160	1281
523	3165	1274
524	3170	1268
