Subset,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
EA1,LinearRegression,3.7869,0.543,2.9344,0.2914,0.8271,0.0582
EA1,RandomForest,4.6442,0.5727,3.4357,0.4071,0.7465,0.0665
EA7,LinearRegression,4.8635,0.6408,3.6362,0.406,0.8384,0.0232
EA7,RandomForest,5.7014,1.301,4.0426,0.8266,0.7688,0.0931
EA14,LinearRegression,5.0439,0.3546,3.7634,0.2574,0.8229,0.0127
EA14,RandomForest,5.0691,0.7791,3.6565,0.5209,0.8193,0.0425
Full,LinearRegression,6.8633,0.3692,5.3356,0.2375,0.8208,0.011
Full,RandomForest,4.7506,0.2635,3.4089,0.2136,0.914,0.0077
EA1,XGBoost,4.4817,0.7162,3.2852,0.393,0.7577,0.0875
EA1,CatBoost,4.1583,0.4318,3.0323,0.345,0.7935,0.0596
EA1,LightGBM,4.5969,0.313,3.4633,0.3163,0.7507,0.0592
EA7,XGBoost,5.2855,1.2956,3.6346,0.779,0.7979,0.0891
EA7,CatBoost,4.7051,0.9156,3.1364,0.5738,0.84,0.0703
EA7,LightGBM,5.3805,0.9966,3.7644,0.6384,0.7936,0.0734
EA14,XGBoost,4.7961,0.6042,3.3395,0.3078,0.8371,0.042
EA14,CatBoost,4.2689,0.7111,2.9447,0.2726,0.8698,0.0444
EA14,LightGBM,5.0944,0.5871,3.5755,0.3264,0.8145,0.05
Full,XGBoost,4.0603,0.2448,2.8016,0.1513,0.9371,0.0065
Full,CatBoost,3.7243,0.293,2.484,0.0949,0.9471,0.0069
Full,LightGBM,4.083,0.4936,2.8164,0.2639,0.9365,0.0108
